Interior(Sq Ft),# of Bed,# of Bath,# of Rooms,Condo Fee,Tax, Sale Price 
1090,2,1,5,134,1799,"2,52,000"
1150,2,2,4,140,1193,"1,75,000"
1425,2,2,5,158,1604,"2,20,000"
826,2,1,5,51,1518,"1,50,000"
672,2,1,4,90,294,"93,500"
695,2,1,5,100,391,"1,04,000"
801,2,1,5,88,789,"92,500"
1194,3,1,6,256,3368,"2,90,000"
1194,3,1,6,256,3368,"2,70,000"
928,2,2,4,187,2166,"1,55,000"
905,1,1,3,114,1958,"1,51,700"
950,3,1,5,90,1697,"1,17,000"
1059,2,1,5,85,2280,"1,75,000"
1147,2,1,5,102,2448,"2,18,000"
1158,2,2,5,253,2323,"1,15,000"
841,2,2,4,184,1689,"71,000"
842,2,2,4,184,1690,"1,10,000"
892,2,2,4,195,1092,"90,000"
574,1,1,3,129,1085,"62,000"
1253,2,2,4,274,2186,"1,05,000"
911,2,2,4,199,1209,"99,500"
1202,2,1,4,141,920,"1,33,500"
1098,3,2,6,286,1289,"1,54,000"
809,2,2,4,193,1544,"1,13,500"
1758,3,2,6,190,2811,"2,90,000"
712,2,1,5,116,604,"1,08,000"
560,2,1,5,112,857,"91,000"
712,2,1,5,127,783,"1,34,500"
1824,2,3,6,146,2989,"2,75,000"
550,1,1,3,107,736,"1,04,500"
731,1,1,3,143,982,"1,37,000"
731,1,1,3,165,1078,"1,43,000"
541,1,1,2,128,695,"1,38,000"
541,1,1,3,146,879,"1,21,000"
562,1,1,3,146,922,"1,25,333"
1000,2,1,4,100,1190,"1,10,000"
1000,2,1,4,100,1190,"1,14,000"
561,1,1,3,144,847,"1,35,000"
660,1,1,3,190,678,"1,00,000"
895,2,1,4,170,1195,"85,000"
660,1,1,3,170,777,"1,00,000"
660,1,1,3,190,678,"1,17,000"
660,1,1,3,170,1372,"1,03,000"
660,1,1,3,170,657,"1,19,000"
660,1,1,3,180,777,"1,08,000"
660,1,1,3,190,777,"1,17,000"
660,1,1,3,170,1372,"1,05,000"
660,1,1,3,190,725,"1,20,000"
1095,2,1,4,115,1453,"1,76,000"
1240,2,2,5,88,1371,"1,29,500"
650,1,1,3,154,578,"1,25,000"
607,1,1,4,154,1193,"1,22,000"
650,1,1,3,140,504,"1,19,900"
607,1,1,3,154,791,"1,08,900"
817,1,1,4,177,934,"1,50,000"
840,1,1,5,159,1016,"1,55,750"
607,1,1,3,154,598,"1,16,500"
1103,2,1,5,209,1827,"1,86,500"
800,1,1,4,25,33,"1,48,000"
1667,4,1,7,128,2145,"2,80,000"
1325,3,2,5,55,1688,"2,70,000"
1000,2,1,5,66,1269,"1,85,000"
1469,3,2,6,100,1903,"2,90,000"
1104,3,2,6,83,2043,"2,49,500"
